LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
11.0,23.0,9.0,5.0,22.0,42.0,12.0,0.17,20.0,9.0,0.75,54.0,3.0,0.18,66.0,0.0,8.0,0.67,60.24,18.64,20938.3,0.37,199.0,0.05,1163.24,1123.13,0.25,11.0,21.0,44.0,0.1,87.0,112.0,35.0,15.0,123.0,29.03,71.0,0
10.0,21.0,1.0,8.0,17.0,36.0,11.0,0.23,16.0,4.0,0.36,40.0,4.0,0.3,40.0,0.0,11.0,1.0,27.59,39.14,42260.49,0.36,199.0,0.03,2347.8,1079.83,0.36,10.0,18.0,31.0,0.14,82.0,117.0,22.0,21.0,77.0,38.46,48.0,1
0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.07,0.0,1.0,1.0,4.0,1.0,0.0,15.0,0.0,0.0,0.0,6.05,10.67,688.74,0.02,23.0,0.09,38.26,64.56,1.0,0.0,0.0,5.0,0.06,16.0,7.0,3.0,4.0,16.0,0.0,15.0,0
1.0,11.0,0.0,0.0,0.0,20.0,6.0,0.3,10.0,1.0,0.17,21.0,1.0,0.0,20.0,0.0,0.0,0.0,13.96,12.0,2010.28,0.06,44.0,0.08,111.68,167.52,0.17,5.0,10.0,17.0,0.26,18.0,26.0,6.0,8.0,23.0,0.0,20.0,0
4.0,43.0,1.0,3.0,0.0,84.0,22.0,0.05,42.0,2.0,0.09,137.0,1.0,0.0,479.0,0.0,5.0,0.23,1643.15,10.81,192184.74,5.92,2029.0,0.09,10676.93,17770.43,0.05,21.0,42.0,117.0,0.05,1019.0,1010.0,424.0,9.0,487.0,0.62,482.0,0
0.0,7.0,0.0,0.0,0.0,10.0,4.0,0.2,4.0,1.0,0.25,12.0,4.0,1.0,20.0,0.0,4.0,1.0,36.01,10.31,3829.39,0.12,79.0,0.1,212.74,371.33,1.0,3.0,5.0,10.0,0.15,33.0,46.0,16.0,10.0,26.0,0.0,20.0,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
2.0,7.0,1.0,6.0,0.0,10.0,4.0,0.31,4.0,1.0,0.25,12.0,1.0,0.0,7.0,0.0,3.0,0.75,17.58,10.83,2062.65,0.06,41.0,0.09,114.59,190.4,0.25,3.0,5.0,10.0,0.22,20.0,21.0,12.0,13.0,18.0,46.15,13.0,0
0.0,7.0,0.0,1.0,0.0,8.0,4.0,0.31,2.0,1.0,0.25,10.0,4.0,1.0,12.0,3.0,4.0,1.0,25.42,6.67,1129.72,0.06,38.0,0.15,62.76,169.46,1.0,3.0,4.0,8.0,0.24,16.0,22.0,12.0,10.0,17.0,7.69,13.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,9.0,3.0,81.0,0.01,9.0,0.33,4.5,27.0,1.0,0.0,0.0,3.0,0.2,2.0,7.0,2.0,6.0,5.0,0.0,2.0,0
7.0,17.0,4.0,0.0,7.0,30.0,9.0,0.23,14.0,8.0,0.89,36.0,3.0,0.25,40.0,0.0,8.0,0.89,45.44,18.69,15868.32,0.28,163.0,0.05,881.57,849.14,0.33,8.0,15.0,29.0,0.16,69.0,94.0,24.0,13.0,56.0,14.89,40.0,0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,0.0,0.0,3.0,0.2,1.0,5.0,1.0,5.0,5.0,33.33,2.0,1
16.0,33.0,0.0,0.0,5.0,42.0,17.0,0.38,12.0,1.0,0.06,47.0,14.0,0.81,45.0,0.0,5.0,0.29,43.13,14.03,8485.92,0.2,121.0,0.07,471.44,605.0,0.82,15.0,23.0,32.0,0.25,41.0,80.0,19.0,13.0,68.0,10.0,45.0,1
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.14,0.0,1.0,1.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,10.0,3.0,90.0,0.01,10.0,0.33,5.0,30.0,1.0,0.0,0.0,4.0,0.13,6.0,4.0,4.0,4.0,8.0,0.0,7.0,0
118.0,273.0,5.0,21.0,123.0,430.0,137.0,0.19,158.0,17.0,0.12,494.0,73.0,0.53,709.0,0.0,54.0,0.39,150.7,147.72,3288484.49,7.42,3358.0,0.01,182693.6,22261.38,0.53,136.0,215.0,359.0,0.14,1167.0,2191.0,79.0,20.0,980.0,16.88,730.0,1
1.0,3.0,0.0,1.0,0.0,4.0,2.0,0.33,2.0,1.0,0.5,6.0,1.0,0.0,5.0,1.0,2.0,1.0,10.95,6.0,394.38,0.02,19.0,0.17,21.91,65.73,0.5,1.0,2.0,6.0,0.22,10.0,9.0,5.0,6.0,9.0,16.67,6.0,0
18.0,15.0,0.0,5.0,33.0,24.0,8.0,0.21,10.0,1.0,0.13,28.0,5.0,0.57,33.0,0.0,5.0,0.63,27.46,26.82,19755.03,0.25,146.0,0.04,1097.5,736.48,0.63,7.0,12.0,22.0,0.09,57.0,89.0,17.0,16.0,91.0,53.52,38.0,0
12.0,39.0,4.0,0.0,11.0,66.0,20.0,0.31,28.0,13.0,0.65,72.0,9.0,0.42,65.0,0.0,17.0,0.85,60.65,23.78,34292.58,0.48,253.0,0.04,1905.14,1442.21,0.45,19.0,33.0,54.0,0.22,107.0,146.0,36.0,16.0,90.0,14.47,65.0,1
3.0,11.0,3.0,1.0,6.0,20.0,6.0,0.22,10.0,6.0,1.0,22.0,1.0,0.0,26.0,0.0,6.0,1.0,35.77,12.22,5343.78,0.15,90.0,0.08,296.88,437.22,0.17,5.0,10.0,18.0,0.16,40.0,50.0,18.0,11.0,38.0,21.21,27.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,1.0,1.0,0.0,6.0,5.0,1.0,1.0,51.81,1.5,116.56,0.03,21.0,0.67,6.48,77.71,1.0,0.0,0.0,2.0,0.08,10.0,11.0,10.0,3.0,12.0,0.0,6.0,0
0.0,5.0,0.0,1.0,0.0,6.0,3.0,0.25,2.0,1.0,0.33,8.0,3.0,1.0,11.0,2.0,3.0,1.0,20.61,6.5,870.87,0.04,31.0,0.15,48.38,133.98,1.0,2.0,3.0,7.0,0.2,13.0,18.0,10.0,10.0,15.0,8.33,12.0,0
14.0,21.0,7.0,4.0,15.0,30.0,11.0,0.2,10.0,3.0,0.27,43.0,7.0,0.6,51.0,0.0,0.0,0.0,97.49,18.21,32331.72,0.59,277.0,0.05,1796.21,1775.4,0.64,10.0,17.0,34.0,0.13,111.0,166.0,64.0,21.0,86.0,27.14,55.0,0
1.0,3.0,0.0,0.0,2.0,4.0,2.0,0.2,2.0,1.0,0.5,6.0,1.0,0.0,10.0,0.0,0.0,0.0,26.93,4.8,620.48,0.04,31.0,0.21,34.47,129.27,0.5,1.0,2.0,6.0,0.13,12.0,19.0,10.0,8.0,15.0,16.67,10.0,0
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,14.4,2.5,90.0,0.01,12.0,0.4,5.0,36.0,1.0,0.0,0.0,2.0,0.13,5.0,7.0,4.0,4.0,8.0,20.0,4.0,0
4.0,5.0,4.0,1.0,6.0,6.0,3.0,0.23,2.0,2.0,0.67,13.0,3.0,1.0,12.0,0.0,2.0,0.67,20.25,9.55,1844.77,0.06,44.0,0.1,102.49,193.26,1.0,2.0,3.0,12.0,0.1,21.0,23.0,11.0,10.0,29.0,36.84,13.0,0
2.0,3.0,1.0,1.0,0.0,4.0,2.0,0.29,2.0,2.0,1.0,5.0,1.0,0.0,6.0,0.0,2.0,1.0,10.88,6.3,431.75,0.02,18.0,0.16,23.99,68.53,0.5,1.0,2.0,5.0,0.18,7.0,11.0,5.0,9.0,11.0,14.29,7.0,0
2.0,9.0,3.0,0.0,2.0,4.0,7.0,0.23,2.0,2.0,0.29,20.0,1.0,0.0,31.0,0.0,7.0,1.0,34.66,14.62,7413.09,0.17,94.0,0.07,411.84,506.88,0.14,1.0,2.0,15.0,0.18,39.0,55.0,24.0,18.0,38.0,6.06,31.0,1
8.0,9.0,4.0,1.0,0.0,16.0,5.0,0.11,8.0,5.0,1.0,20.0,1.0,0.0,43.0,0.0,5.0,1.0,38.45,16.67,10689.16,0.21,124.0,0.06,593.84,641.07,0.2,4.0,8.0,17.0,0.09,59.0,65.0,23.0,13.0,54.0,2.27,44.0,1
10.0,37.0,3.0,3.0,18.0,48.0,19.0,0.54,12.0,1.0,0.05,52.0,17.0,0.89,32.0,0.0,4.0,0.21,25.01,38.18,36464.5,0.32,176.0,0.03,2025.81,955.02,0.89,18.0,42.0,35.0,0.29,80.0,96.0,22.0,21.0,65.0,39.62,35.0,0
1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.14,0.0,1.0,1.0,3.0,1.0,0.0,7.0,5.0,1.0,1.0,32.17,3.5,394.06,0.04,27.0,0.29,21.89,112.59,1.0,0.0,0.0,4.0,0.07,11.0,16.0,11.0,7.0,14.0,0.0,7.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,13.95,2.5,87.17,0.01,11.0,0.4,4.84,34.87,1.0,0.0,0.0,3.0,0.14,4.0,7.0,4.0,5.0,7.0,0.0,3.0,0
2.0,11.0,1.0,2.0,0.0,14.0,6.0,0.32,4.0,2.0,0.33,16.0,5.0,0.8,17.0,0.0,5.0,0.83,21.67,17.6,6713.93,0.13,77.0,0.06,373.0,381.47,0.83,5.0,7.0,12.0,0.24,33.0,44.0,15.0,16.0,25.0,10.53,19.0,1
0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,4.0,1.0,0.0,6.0,0.0,1.0,1.0,8.51,3.0,76.62,0.01,11.0,0.33,4.26,25.54,1.0,0.0,0.0,5.0,0.13,4.0,7.0,2.0,3.0,8.0,0.0,6.0,0
1.0,3.0,2.0,1.0,0.0,4.0,2.0,0.18,2.0,2.0,1.0,6.0,1.0,0.0,10.0,0.0,2.0,1.0,24.53,6.8,1134.22,0.06,40.0,0.15,63.01,166.8,0.5,1.0,2.0,6.0,0.12,17.0,23.0,10.0,8.0,17.0,9.09,11.0,0
3.0,3.0,0.0,1.0,0.0,4.0,2.0,0.29,2.0,1.0,0.5,5.0,1.0,0.0,6.0,0.0,2.0,1.0,11.71,4.9,281.06,0.02,16.0,0.2,15.61,57.36,0.5,1.0,2.0,5.0,0.17,7.0,9.0,5.0,7.0,12.0,14.29,7.0,0
1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,1.0,7.0,1.0,0.0,6.0,0.0,2.0,1.0,9.25,7.2,479.58,0.02,18.0,0.14,26.64,66.61,0.5,1.0,2.0,7.0,0.22,9.0,9.0,5.0,8.0,9.0,0.0,6.0,1
9.0,29.0,3.0,1.0,8.0,44.0,15.0,0.22,18.0,5.0,0.33,51.0,9.0,0.57,66.0,0.0,13.0,0.87,41.35,34.0,47798.56,0.47,238.0,0.03,2655.48,1405.84,0.6,13.0,25.0,38.0,0.17,102.0,136.0,36.0,24.0,86.0,12.0,67.0,1
6.0,7.0,3.0,0.0,0.0,12.0,4.0,0.2,6.0,3.0,0.75,16.0,1.0,0.0,20.0,0.0,4.0,1.0,28.31,9.19,2389.35,0.09,53.0,0.11,132.74,260.07,0.25,3.0,6.0,14.0,0.14,21.0,32.0,16.0,14.0,28.0,0.0,20.0,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,7.74,1.5,17.41,0.0,5.0,0.67,0.97,11.61,1.0,0.0,0.0,2.0,0.2,2.0,3.0,2.0,3.0,5.0,0.0,2.0,0
6.0,3.0,2.0,0.0,0.0,4.0,2.0,0.29,2.0,2.0,1.0,6.0,1.0,0.0,7.0,0.0,2.0,1.0,19.48,4.81,451.25,0.03,24.0,0.21,25.07,93.77,0.5,1.0,2.0,6.0,0.13,11.0,13.0,8.0,7.0,15.0,0.0,7.0,0
0.0,3.0,1.0,2.0,0.0,4.0,2.0,0.17,2.0,1.0,0.5,7.0,1.0,0.0,10.0,0.0,1.0,0.5,15.95,5.25,439.75,0.03,22.0,0.19,24.43,83.76,0.5,1.0,2.0,7.0,0.15,14.0,8.0,8.0,6.0,13.0,16.67,12.0,0
0.0,5.0,1.0,0.0,3.0,8.0,3.0,0.2,4.0,3.0,1.0,10.0,1.0,0.0,15.0,0.0,3.0,1.0,27.6,10.33,2947.55,0.1,66.0,0.1,163.75,285.25,0.33,2.0,4.0,9.0,0.12,31.0,35.0,12.0,8.0,25.0,16.67,15.0,0
3.0,11.0,5.0,8.0,2.0,20.0,6.0,0.12,10.0,6.0,1.0,28.0,1.0,0.0,44.0,0.0,4.0,0.67,61.3,21.53,28424.0,0.44,220.0,0.05,1579.11,1320.0,0.17,5.0,10.0,24.0,0.1,102.0,118.0,45.0,19.0,59.0,18.52,52.0,0
422.0,181.0,34.0,5.0,529.0,244.0,91.0,0.04,64.0,31.0,0.34,661.0,60.0,0.66,2067.0,0.0,6.0,0.07,1160.64,77.95,7052586.09,30.16,10342.0,0.01,391810.36,90473.81,0.66,90.0,122.0,572.0,0.03,4034.0,6308.0,414.0,16.0,3025.0,20.53,2072.0,1
6.0,11.0,3.0,3.0,6.0,20.0,6.0,0.21,10.0,3.0,0.5,22.0,1.0,0.0,26.0,0.0,2.0,0.33,16.05,16.9,4586.89,0.09,60.0,0.06,254.83,271.41,0.17,5.0,10.0,18.0,0.14,26.0,34.0,10.0,13.0,44.0,25.71,29.0,0
2.0,9.0,0.0,5.0,1.0,14.0,5.0,0.31,6.0,1.0,0.2,14.0,4.0,0.75,11.0,1.0,2.0,0.4,11.26,16.88,3206.07,0.06,42.0,0.06,178.12,189.99,0.8,4.0,7.0,11.0,0.24,18.0,24.0,8.0,15.0,21.0,35.29,16.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11,0.0,1.0,1.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,7.4,1.5,16.64,0.0,7.0,0.67,0.92,11.09,1.0,0.0,0.0,3.0,0.1,6.0,1.0,2.0,1.0,10.0,0.0,9.0,0
1.0,7.0,2.0,3.0,13.0,10.0,4.0,0.18,4.0,2.0,0.5,13.0,3.0,0.67,19.0,0.0,3.0,0.75,21.49,14.0,4211.59,0.1,64.0,0.07,233.98,300.83,0.75,3.0,5.0,11.0,0.1,28.0,36.0,13.0,13.0,41.0,45.71,22.0,1
1.0,3.0,4.0,1.0,12.0,4.0,2.0,0.17,2.0,2.0,1.0,9.0,1.0,0.0,11.0,0.0,2.0,1.0,25.76,8.08,1680.68,0.07,46.0,0.12,93.37,208.08,0.5,1.0,2.0,9.0,0.06,21.0,25.0,13.0,10.0,31.0,54.17,12.0,1
2.0,9.0,0.0,1.0,0.0,10.0,5.0,0.5,2.0,1.0,0.2,11.0,5.0,1.0,9.0,0.0,4.0,0.8,17.95,7.94,1133.07,0.05,33.0,0.13,62.95,142.62,1.0,4.0,7.0,8.0,0.33,13.0,20.0,9.0,11.0,15.0,10.0,10.0,0
1.0,17.0,2.0,1.0,17.0,24.0,9.0,0.14,8.0,5.0,0.56,28.0,7.0,0.75,62.0,0.0,8.0,0.89,28.81,47.03,63730.17,0.45,271.0,0.02,3540.56,1355.0,0.78,8.0,12.0,21.0,0.11,83.0,188.0,15.0,17.0,83.0,22.5,63.0,0
0.0,5.0,0.0,0.0,0.0,8.0,3.0,0.21,4.0,1.0,0.33,9.0,1.0,0.0,14.0,0.0,3.0,1.0,19.97,9.6,1840.85,0.06,43.0,0.1,102.27,191.76,0.33,2.0,4.0,8.0,0.15,16.0,27.0,10.0,12.0,20.0,0.0,14.0,0
5.0,9.0,0.0,0.0,4.0,16.0,5.0,0.23,8.0,1.0,0.2,17.0,1.0,0.0,22.0,0.0,5.0,1.0,14.85,30.0,13366.0,0.15,109.0,0.03,742.56,445.53,0.2,4.0,8.0,14.0,0.14,42.0,67.0,7.0,10.0,37.0,15.38,22.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.5,1.0,0.0,2.0,2.0,0.06,2.0,1.0,0.0,0.0,3.0,0.25,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0
1.0,5.0,1.0,16.0,0.0,14.0,3.0,0.12,4.0,2.0,0.67,10.0,1.0,0.0,9.0,0.0,3.0,1.0,22.7,11.0,2747.01,0.08,56.0,0.09,152.61,249.73,0.33,5.0,7.0,9.0,0.09,22.0,34.0,11.0,11.0,34.0,64.0,25.0,0
2.0,9.0,3.0,1.0,15.0,12.0,5.0,0.25,4.0,3.0,0.6,16.0,4.0,0.75,19.0,0.0,2.0,0.4,27.91,11.5,3690.89,0.11,70.0,0.09,205.05,320.95,0.8,4.0,6.0,13.0,0.13,23.0,47.0,12.0,12.0,39.0,45.71,20.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.74,1.5,17.41,0.0,5.0,0.67,0.97,11.61,1.0,0.0,0.0,2.0,0.33,2.0,3.0,2.0,3.0,3.0,0.0,0.0,0
2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.2,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,22.2,3.0,199.82,0.02,18.0,0.33,11.1,66.61,1.0,0.0,0.0,3.0,0.08,7.0,11.0,7.0,6.0,12.0,37.5,5.0,0
15.0,29.0,5.0,1.0,59.0,46.0,15.0,0.19,18.0,5.0,0.33,58.0,10.0,0.64,77.0,0.0,9.0,0.6,40.08,42.96,73978.89,0.57,310.0,0.02,4109.93,1721.92,0.67,14.0,23.0,45.0,0.1,116.0,194.0,27.0,20.0,154.0,43.8,78.0,1
166.0,17.0,10.0,0.0,128.0,26.0,9.0,0.01,10.0,6.0,0.67,193.0,5.0,0.5,855.0,0.0,2.0,0.22,525.77,52.73,1461715.65,9.24,3581.0,0.02,81206.42,27722.19,0.56,8.0,13.0,186.0,0.01,1305.0,2276.0,198.0,16.0,1151.0,13.02,855.0,0
0.0,3.0,2.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,1.0,6.0,1.0,0.0,10.0,0.0,2.0,1.0,14.06,8.67,1055.91,0.04,32.0,0.12,58.66,121.84,0.5,1.0,2.0,6.0,0.17,13.0,19.0,6.0,8.0,12.0,0.0,10.0,0
3.0,9.0,4.0,0.0,2.0,16.0,5.0,0.2,8.0,1.0,0.2,21.0,1.0,0.0,25.0,0.0,5.0,1.0,24.26,11.05,2959.73,0.09,62.0,0.09,164.43,267.96,0.2,4.0,8.0,18.0,0.16,27.0,35.0,11.0,9.0,32.0,7.41,25.0,0
2.0,7.0,2.0,1.0,3.0,0.0,6.0,0.17,0.0,6.0,1.0,15.0,1.0,0.0,35.0,2.0,1.0,0.17,27.94,13.6,5168.0,0.13,76.0,0.07,287.11,380.0,0.17,0.0,0.0,11.0,0.13,24.0,52.0,15.0,17.0,45.0,10.26,36.0,0
8.0,13.0,4.0,4.0,6.0,24.0,7.0,0.18,12.0,5.0,0.71,31.0,1.0,0.0,36.0,0.0,6.0,0.86,38.99,24.64,23674.61,0.32,164.0,0.04,1315.26,960.71,0.14,6.0,12.0,26.0,0.12,75.0,89.0,35.0,23.0,58.0,21.74,40.0,1
2.0,5.0,0.0,0.0,11.0,6.0,3.0,0.23,2.0,1.0,0.33,8.0,3.0,1.0,13.0,0.0,2.0,0.67,17.88,10.56,1994.94,0.06,43.0,0.09,110.83,188.87,1.0,2.0,3.0,7.0,0.11,13.0,30.0,8.0,13.0,28.0,45.83,13.0,0
0.0,13.0,0.0,3.0,5.0,24.0,7.0,0.18,12.0,1.0,0.14,26.0,1.0,0.0,35.0,0.0,7.0,1.0,43.62,6.5,1843.11,0.09,68.0,0.15,102.39,283.55,0.14,6.0,12.0,21.0,0.15,26.0,42.0,12.0,6.0,47.0,18.6,38.0,0
3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.08,0.0,1.0,1.0,4.0,1.0,0.0,13.0,1.0,1.0,1.0,30.27,6.29,1195.97,0.06,55.0,0.16,66.44,190.27,1.0,0.0,0.0,5.0,0.05,22.0,33.0,7.0,4.0,19.0,7.14,13.0,0
2.0,11.0,4.0,1.0,1.0,12.0,6.0,0.32,2.0,6.0,1.0,18.0,6.0,1.0,18.0,0.0,6.0,1.0,23.46,10.83,2753.7,0.08,57.0,0.09,152.98,254.19,1.0,5.0,6.0,14.0,0.22,26.0,31.0,12.0,10.0,27.0,10.0,19.0,1
117.0,55.0,17.0,23.0,100.0,82.0,28.0,0.12,28.0,8.0,0.29,148.0,13.0,0.44,219.0,0.0,18.0,0.64,162.58,44.85,327028.86,2.43,1178.0,0.02,18168.27,7291.61,0.46,27.0,41.0,122.0,0.06,414.0,764.0,60.0,13.0,461.0,35.96,242.0,1
3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.15,0.0,2.0,1.0,6.0,1.0,0.0,13.0,0.0,2.0,1.0,20.27,7.15,1036.36,0.05,33.0,0.14,57.58,144.95,0.5,0.0,0.0,6.0,0.1,13.0,20.0,10.0,11.0,20.0,0.0,13.0,1
2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.03,0.0,1.0,1.0,3.0,1.0,0.0,32.0,0.0,1.0,1.0,229.37,2.73,1706.08,0.21,121.0,0.37,94.78,625.56,1.0,0.0,0.0,4.0,0.03,60.0,61.0,33.0,3.0,36.0,3.03,32.0,1
6.0,10.0,2.0,1.0,1.0,14.0,6.0,0.21,6.0,4.0,0.67,22.0,1.0,0.0,27.0,0.0,4.0,0.67,27.81,15.42,6610.26,0.14,85.0,0.06,367.24,428.77,0.17,4.0,7.0,18.0,0.16,37.0,48.0,18.0,15.0,37.0,6.9,28.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,8.0,3.0,72.0,0.01,8.0,0.33,4.0,24.0,1.0,0.0,0.0,3.0,0.25,2.0,6.0,2.0,6.0,4.0,0.0,2.0,0
