LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,label
2.0,31.0,0.0,0.0,16.0,15.0,16.0,53.0,37.55,31.86,38122.89,0.4,212.0,0.03,2117.94,1196.5,88.0,124.0,29.0,21.0,57.0,0
6.0,7.0,1.0,3.0,4.0,2.0,3.0,23.0,29.48,10.0,2948.03,0.1,62.0,0.1,163.78,294.8,25.0,37.0,15.0,12.0,35.0,1
10.0,23.0,0.0,0.0,12.0,12.0,1.0,15.0,8.11,102.0,84456.0,0.28,207.0,0.01,4692.0,828.0,68.0,139.0,4.0,12.0,27.0,0
6.0,17.0,0.0,7.0,10.0,4.0,1.0,43.0,26.46,19.97,10555.04,0.18,98.0,0.05,586.39,528.45,33.0,65.0,19.0,23.0,58.0,0
5.0,7.0,0.0,1.0,4.0,2.0,1.0,20.0,22.54,18.67,7852.9,0.14,93.0,0.05,436.27,420.69,24.0,69.0,9.0,14.0,30.0,0
6.0,31.0,0.0,4.0,16.0,6.0,16.0,49.0,55.98,23.24,30219.93,0.43,226.0,0.04,1678.88,1300.6,79.0,147.0,34.0,20.0,62.0,0
5.0,15.0,3.0,9.0,8.0,7.0,6.0,46.0,54.87,30.0,49382.78,0.55,281.0,0.03,2743.49,1646.09,114.0,167.0,38.0,20.0,65.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,40.06,5.0,1001.43,0.07,49.0,0.2,55.63,200.29,24.0,25.0,12.0,5.0,11.0,0
8.0,21.0,0.0,0.0,11.0,9.0,3.0,139.0,98.09,39.67,154335.05,1.3,595.0,0.03,8574.17,3890.8,272.0,323.0,72.0,21.0,152.0,0
9.0,19.0,7.0,4.0,10.0,6.0,6.0,30.0,37.52,17.5,11490.16,0.22,127.0,0.06,638.34,656.58,55.0,72.0,22.0,14.0,53.0,1
1.0,1.0,0.0,2.0,1.0,1.0,1.0,8.0,13.54,9.0,1096.52,0.04,32.0,0.11,60.92,121.84,10.0,22.0,5.0,9.0,13.0,0
1.0,5.0,0.0,0.0,3.0,3.0,1.0,17.0,55.21,7.13,2806.18,0.13,75.0,0.14,155.9,393.59,35.0,40.0,27.0,11.0,20.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,5.0,1.0,5.0,4.0,0
5.0,23.0,0.0,4.0,12.0,5.0,4.0,36.0,14.64,46.67,31880.77,0.23,149.0,0.02,1771.15,683.16,56.0,93.0,9.0,15.0,47.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,11.07,3.0,99.66,0.01,10.0,0.33,5.54,33.22,4.0,6.0,4.0,6.0,4.0,1
1.0,3.0,0.0,0.0,2.0,2.0,1.0,14.0,18.13,23.33,9871.1,0.14,88.0,0.04,548.39,423.05,35.0,53.0,12.0,16.0,17.0,0
3.0,15.0,0.0,0.0,8.0,5.0,6.0,31.0,35.8,12.93,5988.9,0.15,87.0,0.08,332.72,463.01,35.0,52.0,23.0,17.0,36.0,0
2.0,5.0,0.0,0.0,3.0,3.0,1.0,14.0,16.81,13.0,2840.66,0.07,49.0,0.08,157.81,218.51,18.0,31.0,9.0,13.0,18.0,0
2.0,3.0,0.0,1.0,2.0,2.0,1.0,7.0,26.21,4.77,597.06,0.04,30.0,0.21,33.17,125.1,15.0,15.0,11.0,7.0,12.0,1
5.0,16.0,12.0,5.0,14.0,2.0,1.0,36.0,44.4,15.92,11252.67,0.24,124.0,0.06,625.15,706.85,47.0,77.0,31.0,21.0,60.0,1
1.0,9.0,0.0,0.0,5.0,3.0,5.0,16.0,14.72,14.62,3147.64,0.07,49.0,0.07,174.87,215.22,18.0,31.0,8.0,13.0,19.0,0
5.0,25.0,2.0,0.0,13.0,9.0,1.0,44.0,49.37,20.58,20918.07,0.34,181.0,0.05,1162.11,1016.26,65.0,116.0,30.0,19.0,53.0,0
5.0,7.0,0.0,2.0,4.0,1.0,1.0,12.0,9.97,12.6,1583.1,0.04,33.0,0.08,87.95,125.64,14.0,19.0,5.0,9.0,21.0,0
1.0,7.0,0.0,0.0,4.0,1.0,3.0,10.0,12.94,11.38,1673.96,0.05,33.0,0.09,93.0,147.16,13.0,20.0,8.0,14.0,13.0,0
3.0,17.0,0.0,2.0,9.0,4.0,9.0,17.0,17.57,26.25,12107.75,0.15,94.0,0.04,672.65,461.25,35.0,59.0,12.0,18.0,25.0,0
7.0,3.0,0.0,2.0,2.0,1.0,1.0,24.0,28.49,23.22,15363.84,0.22,127.0,0.04,853.55,661.6,44.0,83.0,18.0,19.0,36.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,13.95,2.5,87.17,0.01,11.0,0.4,4.84,34.87,4.0,7.0,4.0,5.0,9.0,0
6.0,7.0,0.0,10.0,4.0,2.0,4.0,13.0,30.81,23.85,17522.83,0.24,140.0,0.04,973.49,734.71,53.0,87.0,20.0,18.0,36.0,0
14.0,1.0,0.0,5.0,1.0,1.0,1.0,12.0,24.82,8.73,1890.71,0.07,51.0,0.11,105.04,216.64,24.0,27.0,11.0,8.0,33.0,1
2.0,1.0,0.0,4.0,1.0,1.0,1.0,4.0,17.41,3.5,213.21,0.02,16.0,0.29,11.85,60.92,7.0,9.0,7.0,7.0,12.0,0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,28.56,6.55,1223.4,0.06,44.0,0.15,67.97,186.91,18.0,26.0,11.0,8.0,9.0,0
3.0,5.0,0.0,0.0,3.0,2.0,1.0,26.0,39.2,11.87,5522.83,0.16,90.0,0.08,306.82,465.29,42.0,48.0,23.0,13.0,31.0,0
13.0,37.0,2.0,1.0,19.0,18.0,12.0,127.0,151.54,17.22,44953.74,0.87,392.0,0.06,2497.43,2610.02,183.0,209.0,85.0,16.0,145.0,1
4.0,13.0,0.0,0.0,7.0,5.0,1.0,46.0,28.6,29.57,25007.5,0.28,160.0,0.03,1389.31,845.66,69.0,91.0,21.0,18.0,52.0,1
7.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0,43.55,9.28,3751.16,0.13,85.0,0.11,208.4,404.17,27.0,58.0,16.0,11.0,28.0,1
0.0,11.0,0.0,0.0,6.0,4.0,3.0,16.0,15.01,15.0,3377.64,0.08,54.0,0.07,187.65,225.18,24.0,30.0,8.0,10.0,18.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,12.0,24.38,7.5,1371.28,0.06,41.0,0.13,76.18,182.84,18.0,23.0,12.0,10.0,15.0,1
3.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,13.45,3.6,174.36,0.02,14.0,0.28,9.69,48.43,6.0,8.0,5.0,6.0,9.0,0
5.0,1.0,0.0,0.0,1.0,1.0,1.0,17.0,65.65,6.36,2658.64,0.14,86.0,0.16,147.7,417.79,40.0,46.0,22.0,7.0,24.0,0
4.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,34.61,9.82,3336.55,0.11,80.0,0.1,185.36,339.83,27.0,53.0,11.0,8.0,17.0,0
9.0,13.0,0.0,0.0,7.0,5.0,3.0,35.0,30.34,21.47,13988.36,0.22,127.0,0.05,777.13,651.42,51.0,76.0,19.0,16.0,46.0,0
4.0,5.0,0.0,0.0,3.0,3.0,1.0,16.0,38.34,12.89,6374.52,0.16,98.0,0.08,354.14,494.35,35.0,63.0,19.0,14.0,22.0,0
2.0,9.0,3.0,1.0,5.0,3.0,5.0,14.0,17.89,18.46,6098.63,0.11,68.0,0.05,338.81,330.34,30.0,38.0,13.0,16.0,22.0,0
3.0,7.0,1.0,4.0,4.0,1.0,3.0,14.0,11.48,15.17,2641.5,0.06,41.0,0.07,146.75,174.17,14.0,27.0,6.0,13.0,25.0,0
10.0,1.0,0.0,12.0,1.0,1.0,1.0,46.0,56.78,22.67,29171.77,0.43,233.0,0.04,1620.65,1286.99,85.0,148.0,30.0,16.0,78.0,0
2.0,5.0,0.0,0.0,3.0,3.0,1.0,12.0,21.53,10.08,2189.4,0.07,48.0,0.1,121.63,217.13,22.0,26.0,12.0,11.0,16.0,0
3.0,7.0,0.0,0.0,4.0,1.0,4.0,14.0,15.93,12.0,2293.88,0.06,45.0,0.08,127.44,191.16,14.0,31.0,7.0,12.0,19.0,0
13.0,11.0,4.0,10.0,6.0,4.0,1.0,47.0,22.59,41.11,38187.42,0.31,177.0,0.02,2121.52,928.88,74.0,103.0,18.0,20.0,76.0,0
4.0,3.0,0.0,0.0,2.0,1.0,1.0,8.0,14.3,7.0,700.55,0.03,24.0,0.14,38.92,100.08,7.0,17.0,6.0,12.0,14.0,0
7.0,15.0,0.0,0.0,8.0,3.0,4.0,25.0,15.99,31.17,15528.69,0.17,106.0,0.03,862.7,498.25,33.0,73.0,9.0,17.0,34.0,0
4.0,3.0,0.0,0.0,2.0,2.0,1.0,14.0,18.47,13.5,3366.03,0.08,61.0,0.07,187.0,249.34,24.0,37.0,8.0,9.0,22.0,0
2.0,9.0,0.0,0.0,5.0,2.0,5.0,13.0,13.27,19.0,4791.29,0.08,55.0,0.05,266.18,252.17,19.0,36.0,8.0,16.0,17.0,0
11.0,17.0,0.0,1.0,9.0,5.0,3.0,46.0,25.68,43.45,48482.41,0.37,202.0,0.02,2693.47,1115.76,73.0,129.0,21.0,25.0,60.0,0
7.0,17.0,0.0,9.0,9.0,6.0,1.0,33.0,24.07,22.94,12668.16,0.18,106.0,0.04,703.79,552.2,39.0,67.0,17.0,20.0,51.0,0
1.0,7.0,0.0,0.0,4.0,4.0,1.0,35.0,45.1,17.78,14247.85,0.27,165.0,0.06,791.55,801.57,79.0,86.0,20.0,9.0,38.0,0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,13.32,3.5,163.12,0.02,13.0,0.29,9.06,46.6,5.0,8.0,5.0,7.0,7.0,0
3.0,5.0,0.0,0.0,3.0,3.0,1.0,19.0,39.4,7.87,2439.21,0.1,62.0,0.13,135.51,310.0,23.0,39.0,19.0,13.0,24.0,0
0.0,17.0,0.0,0.0,9.0,3.0,7.0,3.0,33.18,55.0,100375.0,0.61,365.0,0.02,5576.39,1825.0,66.0,299.0,12.0,20.0,8.0,0
10.0,17.0,0.0,25.0,9.0,9.0,5.0,45.0,90.41,7.56,5170.55,0.23,126.0,0.13,287.25,683.71,44.0,82.0,32.0,11.0,82.0,0
8.0,18.0,7.0,3.0,14.0,14.0,1.0,59.0,50.52,30.64,47424.91,0.52,247.0,0.03,2634.72,1547.9,96.0,151.0,47.0,30.0,79.0,1
2.0,7.0,0.0,0.0,4.0,4.0,1.0,9.0,10.4,10.0,1040.0,0.03,26.0,0.1,57.78,104.0,12.0,14.0,6.0,10.0,13.0,0
4.0,5.0,0.0,2.0,3.0,3.0,1.0,19.0,48.25,6.18,1840.73,0.1,65.0,0.16,102.26,298.02,30.0,35.0,17.0,7.0,27.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,14.0,36.8,7.33,1979.11,0.09,55.0,0.14,109.95,269.88,22.0,33.0,18.0,12.0,19.0,0
0.0,3.0,0.0,0.0,2.0,2.0,1.0,5.0,7.97,5.83,271.29,0.02,14.0,0.17,15.07,46.51,5.0,9.0,3.0,7.0,7.0,0
1.0,15.0,0.0,0.0,8.0,7.0,8.0,47.0,44.27,19.09,16135.47,0.28,149.0,0.05,896.42,845.19,70.0,79.0,33.0,18.0,52.0,0
2.0,5.0,0.0,1.0,3.0,2.0,3.0,6.0,17.36,6.72,784.43,0.04,27.0,0.15,43.58,116.69,11.0,16.0,9.0,11.0,11.0,1
0.0,3.0,0.0,0.0,2.0,2.0,1.0,6.0,26.54,3.85,393.42,0.03,25.0,0.26,21.86,102.19,11.0,14.0,10.0,7.0,8.0,0
4.0,7.0,1.0,0.0,4.0,2.0,1.0,13.0,21.09,10.0,2109.08,0.07,46.0,0.1,117.17,210.91,20.0,26.0,12.0,12.0,20.0,0
43.0,60.0,0.0,2.0,37.0,33.0,9.0,208.0,77.06,49.6,189602.1,1.27,567.0,0.02,10533.45,3822.41,213.0,354.0,73.0,34.0,255.0,0
5.0,40.0,0.0,5.0,39.0,2.0,1.0,85.0,63.25,23.83,35923.67,0.5,215.0,0.04,1995.76,1507.41,86.0,129.0,83.0,46.0,97.0,0
0.0,13.0,0.0,0.0,9.0,5.0,1.0,39.0,24.66,57.14,80527.27,0.47,277.0,0.02,4473.74,1409.23,80.0,197.0,14.0,20.0,41.0,0
2.0,11.0,0.0,0.0,6.0,3.0,6.0,27.0,15.61,22.55,7932.88,0.12,74.0,0.04,440.72,351.86,31.0,43.0,11.0,16.0,36.0,1
1.0,9.0,0.0,0.0,5.0,2.0,4.0,9.0,17.84,6.67,792.95,0.04,28.0,0.15,44.05,118.94,12.0,16.0,9.0,10.0,12.0,1
3.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,21.81,6.5,921.55,0.05,34.0,0.15,51.2,141.78,13.0,21.0,9.0,9.0,12.0,0
4.0,3.0,0.0,0.0,2.0,2.0,1.0,14.0,37.07,7.2,1921.61,0.09,59.0,0.14,106.76,266.89,27.0,32.0,15.0,8.0,22.0,0
5.0,3.0,0.0,3.0,2.0,2.0,1.0,12.0,39.23,4.27,714.12,0.06,37.0,0.23,39.67,167.37,16.0,21.0,15.0,8.0,24.0,0
5.0,7.0,0.0,0.0,4.0,4.0,1.0,43.0,56.19,15.97,14330.78,0.3,159.0,0.06,796.15,897.37,62.0,97.0,33.0,17.0,50.0,0
10.0,57.0,5.0,0.0,29.0,18.0,21.0,106.0,76.79,39.29,118507.5,1.01,467.0,0.03,6583.75,3016.55,198.0,269.0,63.0,25.0,123.0,1
2.0,18.0,0.0,0.0,12.0,2.0,3.0,48.0,22.15,21.25,10001.28,0.16,95.0,0.05,555.63,470.65,35.0,60.0,14.0,17.0,56.0,0
9.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,19.86,12.14,2928.38,0.08,59.0,0.08,162.69,241.16,17.0,42.0,7.0,10.0,20.0,0
16.0,43.0,5.0,29.0,22.0,12.0,11.0,90.0,62.99,32.18,65236.57,0.68,333.0,0.03,3624.25,2027.13,118.0,215.0,44.0,24.0,142.0,1
5.0,5.0,0.0,3.0,3.0,2.0,3.0,15.0,35.73,17.22,10597.55,0.21,128.0,0.06,588.75,615.34,62.0,66.0,18.0,10.0,25.0,0
4.0,9.0,0.0,0.0,5.0,3.0,1.0,26.0,30.28,15.58,7353.68,0.16,92.0,0.06,408.54,471.89,33.0,59.0,18.0,17.0,32.0,0
7.0,83.0,0.0,26.0,42.0,24.0,35.0,78.0,92.16,85.5,673693.46,2.63,1265.0,0.01,37427.41,7879.46,304.0,961.0,48.0,27.0,113.0,0
0.0,6.0,0.0,0.0,5.0,5.0,1.0,17.0,25.66,9.17,2156.23,0.08,52.0,0.11,119.79,235.23,20.0,32.0,12.0,11.0,19.0,0
10.0,3.0,0.0,9.0,2.0,2.0,1.0,30.0,60.18,12.09,8797.96,0.24,131.0,0.08,488.78,727.65,57.0,74.0,33.0,14.0,52.0,0
12.0,7.0,1.0,1.0,4.0,2.0,1.0,56.0,72.82,24.81,44839.15,0.6,291.0,0.04,2491.06,1806.95,134.0,157.0,54.0,20.0,72.0,0
1.0,7.0,0.0,0.0,4.0,3.0,1.0,10.0,20.32,15.58,4934.45,0.11,70.0,0.06,274.14,316.65,34.0,36.0,12.0,11.0,13.0,0
2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,5.0,1.0,5.0,7.0,0
5.0,7.0,0.0,5.0,4.0,3.0,1.0,30.0,50.91,15.46,12171.15,0.26,150.0,0.06,676.18,787.19,67.0,83.0,26.0,12.0,42.0,0
6.0,15.0,0.0,0.0,8.0,7.0,5.0,39.0,24.98,26.71,17829.93,0.22,123.0,0.04,990.55,667.43,51.0,72.0,21.0,22.0,47.0,0
1.0,15.0,0.0,0.0,8.0,6.0,1.0,15.0,21.71,29.77,19232.47,0.22,127.0,0.03,1068.47,646.11,47.0,80.0,15.0,19.0,18.0,0
8.0,21.0,0.0,3.0,11.0,4.0,9.0,53.0,24.12,55.82,75153.05,0.45,253.0,0.02,4175.17,1346.45,101.0,152.0,19.0,21.0,67.0,0
1.0,5.0,0.0,0.0,3.0,2.0,3.0,8.0,10.99,6.4,449.97,0.02,19.0,0.16,25.0,70.31,8.0,11.0,5.0,8.0,11.0,0
2.0,3.0,0.0,0.0,2.0,1.0,1.0,10.0,37.87,13.61,7009.75,0.17,105.0,0.07,389.43,515.22,47.0,58.0,19.0,11.0,14.0,0
1.0,5.0,0.0,0.0,3.0,2.0,3.0,6.0,13.71,5.83,466.67,0.03,20.0,0.17,25.93,80.0,7.0,13.0,6.0,10.0,10.0,0
9.0,19.0,0.0,1.0,10.0,5.0,1.0,50.0,43.97,15.17,10113.29,0.22,128.0,0.07,561.85,666.81,56.0,72.0,24.0,13.0,62.0,0
19.0,3.0,0.0,2.0,2.0,2.0,1.0,107.0,145.24,18.01,47126.42,0.87,404.0,0.06,2618.13,2616.2,193.0,211.0,75.0,14.0,130.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,56.69,5.5,1714.78,0.1,68.0,0.18,95.27,311.78,33.0,35.0,18.0,6.0,12.0,0
12.0,69.0,0.0,17.0,35.0,19.0,35.0,110.0,96.33,42.37,172952.06,1.36,592.0,0.02,9608.45,4081.73,263.0,329.0,90.0,29.0,139.0,1
3.0,11.0,3.0,0.0,10.0,1.0,1.0,33.0,37.94,11.81,5290.82,0.15,86.0,0.08,293.93,448.01,31.0,55.0,21.0,16.0,41.0,1
0.0,8.0,0.0,0.0,6.0,3.0,1.0,23.0,20.68,13.64,3845.81,0.09,60.0,0.07,213.66,282.03,20.0,40.0,11.0,15.0,26.0,0
12.0,10.0,1.0,8.0,9.0,2.0,1.0,58.0,56.89,16.95,16336.25,0.32,166.0,0.06,907.57,964.02,66.0,100.0,37.0,19.0,81.0,0
3.0,22.0,0.0,5.0,13.0,1.0,4.0,40.0,21.82,23.33,11877.81,0.17,97.0,0.04,659.88,509.05,42.0,55.0,18.0,20.0,50.0,0
4.0,15.0,0.0,0.0,8.0,5.0,6.0,31.0,24.56,21.64,11498.13,0.18,102.0,0.05,638.79,531.36,41.0,61.0,18.0,19.0,37.0,0
10.0,47.0,5.0,20.0,24.0,16.0,14.0,105.0,47.52,45.68,99158.57,0.72,369.0,0.02,5508.81,2170.7,143.0,226.0,36.0,23.0,143.0,0
1.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,22.07,3.86,328.28,0.03,23.0,0.26,18.24,85.11,9.0,14.0,7.0,6.0,11.0,0
22.0,21.0,2.0,25.0,11.0,7.0,9.0,74.0,70.92,31.2,69035.34,0.74,361.0,0.03,3835.3,2212.67,156.0,205.0,50.0,20.0,128.0,1
25.0,9.0,0.0,19.0,5.0,5.0,1.0,51.0,63.13,14.0,12372.78,0.29,160.0,0.07,687.38,883.77,64.0,96.0,32.0,14.0,97.0,1
1.0,9.0,0.0,1.0,5.0,1.0,1.0,22.0,36.37,14.75,7912.5,0.18,117.0,0.07,439.58,536.44,59.0,58.0,16.0,8.0,26.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,39.24,3.54,492.2,0.05,34.0,0.28,27.34,138.97,17.0,17.0,12.0,5.0,7.0,0
1.0,23.0,0.0,1.0,12.0,11.0,12.0,27.0,44.3,16.77,12464.7,0.25,131.0,0.06,692.48,743.09,52.0,79.0,31.0,20.0,31.0,1
4.0,3.0,0.0,3.0,2.0,2.0,1.0,15.0,23.82,9.45,2127.57,0.08,53.0,0.11,118.2,225.14,21.0,32.0,10.0,9.0,24.0,0
5.0,13.0,0.0,2.0,7.0,5.0,1.0,49.0,67.78,15.47,16230.05,0.35,184.0,0.06,901.67,1048.88,84.0,100.0,38.0,14.0,58.0,0
16.0,17.0,3.0,8.0,9.0,4.0,7.0,36.0,24.54,28.75,20280.66,0.24,130.0,0.03,1126.7,705.41,50.0,80.0,20.0,23.0,67.0,0
6.0,35.0,0.0,15.0,22.0,18.0,1.0,88.0,60.41,23.61,33680.49,0.48,229.0,0.04,1871.14,1426.4,89.0,140.0,49.0,26.0,111.0,0
8.0,9.0,0.0,11.0,5.0,1.0,1.0,15.0,17.59,20.0,7037.23,0.12,74.0,0.05,390.96,351.86,32.0,42.0,12.0,15.0,36.0,0
5.0,17.0,0.0,11.0,9.0,6.0,1.0,31.0,38.58,13.3,6819.61,0.17,100.0,0.08,378.87,512.92,45.0,55.0,22.0,13.0,49.0,0
18.0,8.0,0.0,21.0,5.0,5.0,1.0,53.0,46.36,25.94,31194.86,0.4,208.0,0.04,1733.05,1202.52,84.0,124.0,34.0,21.0,94.0,1
1.0,3.0,0.0,1.0,2.0,2.0,1.0,6.0,14.34,3.5,175.66,0.02,14.0,0.29,9.76,50.19,5.0,9.0,5.0,7.0,10.0,0
3.0,7.0,0.0,3.0,4.0,4.0,1.0,27.0,26.43,13.3,4675.24,0.12,86.0,0.08,259.74,351.52,38.0,48.0,10.0,7.0,37.0,0
4.0,3.0,0.0,0.0,2.0,2.0,1.0,20.0,41.97,9.61,3874.75,0.13,78.0,0.1,215.26,403.25,34.0,44.0,23.0,13.0,26.0,1
16.0,13.0,9.0,0.0,7.0,4.0,5.0,63.0,39.71,36.67,53390.88,0.49,258.0,0.03,2966.16,1456.11,110.0,148.0,30.0,20.0,90.0,1
25.0,27.0,0.0,12.0,15.0,14.0,1.0,100.0,56.53,33.27,62586.87,0.63,309.0,0.03,3477.05,1881.03,122.0,187.0,44.0,24.0,139.0,1
0.0,5.0,0.0,0.0,4.0,2.0,1.0,16.0,24.56,7.33,1320.62,0.06,41.0,0.14,73.37,180.09,11.0,30.0,9.0,12.0,18.0,0
14.0,7.0,0.0,1.0,4.0,2.0,4.0,20.0,21.65,17.0,6256.29,0.12,75.0,0.06,347.57,368.02,26.0,49.0,13.0,17.0,37.0,0
1.0,3.0,0.0,1.0,2.0,2.0,1.0,12.0,23.09,3.57,294.48,0.03,23.0,0.28,16.36,82.45,10.0,13.0,7.0,5.0,16.0,0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,25.43,2.86,207.57,0.02,21.0,0.35,11.53,72.65,10.0,11.0,7.0,4.0,8.0,0
12.0,5.0,0.0,0.0,3.0,3.0,1.0,55.0,88.89,19.93,35325.77,0.59,300.0,0.05,1962.54,1772.07,131.0,169.0,46.0,14.0,69.0,0
10.0,11.0,4.0,12.0,6.0,5.0,1.0,41.0,55.25,17.33,16599.68,0.32,168.0,0.06,922.2,957.67,78.0,90.0,36.0,16.0,69.0,0
30.0,111.0,3.0,15.0,56.0,33.0,12.0,192.0,180.19,25.61,118171.02,1.54,631.0,0.04,6565.06,4614.43,262.0,369.0,133.0,26.0,242.0,1
3.0,11.0,0.0,0.0,6.0,4.0,3.0,14.0,20.47,18.75,7195.88,0.13,79.0,0.05,399.77,383.78,35.0,44.0,14.0,15.0,19.0,0
10.0,35.0,0.0,16.0,18.0,15.0,10.0,55.0,62.16,19.6,23880.48,0.41,217.0,0.05,1326.69,1218.39,98.0,119.0,35.0,14.0,83.0,1
3.0,7.0,0.0,7.0,4.0,4.0,4.0,35.0,47.6,14.58,10122.49,0.23,119.0,0.07,562.36,694.11,50.0,69.0,36.0,21.0,45.0,0
3.0,5.0,0.0,0.0,3.0,3.0,1.0,27.0,37.73,16.36,10101.99,0.21,116.0,0.06,561.22,617.34,40.0,76.0,22.0,18.0,32.0,1
5.0,5.0,0.0,0.0,3.0,3.0,1.0,14.0,48.44,8.39,3406.91,0.14,82.0,0.12,189.27,406.24,41.0,41.0,22.0,9.0,21.0,0
8.0,23.0,3.0,29.0,12.0,6.0,1.0,97.0,60.06,47.5,135521.39,0.95,485.0,0.02,7528.97,2853.08,200.0,285.0,40.0,19.0,139.0,1
